date,ticker,close
2024-10-01,AAPL,170.12
2024-10-02,AAPL,171.45
2024-10-03,AAPL,169.88
2024-10-04,AAPL,170.77
2024-10-07,AAPL,172.10
2024-10-08,AAPL,171.00
2024-10-09,AAPL,170.50
2024-10-10,AAPL,172.33
2024-10-11,AAPL,173.02
2024-10-14,AAPL,172.76
2024-10-15,AAPL,174.20
2024-10-16,AAPL,175.05
2024-10-17,AAPL,174.62
2024-10-18,AAPL,175.91
2024-10-21,AAPL,176.34
2024-10-22,AAPL,175.80
2024-10-23,AAPL,176.05
2024-10-24,AAPL,176.72
2024-10-25,AAPL,177.01
2024-10-28,AAPL,177.44
2024-10-29,AAPL,176.95
2024-10-30,AAPL,177.80
2024-10-31,AAPL,178.20
2024-11-01,AAPL,179.12
2024-11-04,AAPL,180.05
2024-11-05,AAPL,179.70
2024-11-06,AAPL,180.22
2024-11-07,AAPL,181.10
2024-11-08,AAPL,181.75
2024-11-11,AAPL,182.05
2024-11-12,AAPL,181.66
2024-11-13,AAPL,182.88
2024-11-14,AAPL,183.30
2024-11-15,AAPL,183.85
2024-11-18,AAPL,184.10
2024-11-19,AAPL,183.55
2024-11-20,AAPL,183.95
2024-11-21,AAPL,184.25
2024-11-22,AAPL,184.90
2024-11-25,AAPL,185.10
2024-11-26,AAPL,185.55
2024-11-27,AAPL,186.00
2024-11-29,AAPL,186.20
2024-12-02,AAPL,186.75
2024-12-03,AAPL,186.40
2024-12-04,AAPL,186.90
2024-12-05,AAPL,187.30
2024-12-06,AAPL,187.85
2024-12-09,AAPL,188.22
2024-12-10,AAPL,188.60
2024-12-11,AAPL,188.95
2024-12-12,AAPL,189.35
2024-12-13,AAPL,189.90
2024-12-16,AAPL,190.15
2024-12-17,AAPL,190.55
2024-12-18,AAPL,191.00
2024-12-19,AAPL,191.45
2024-12-20,AAPL,191.70
2024-10-01,MSFT,320.10
2024-10-02,MSFT,321.25
2024-10-03,MSFT,319.80
2024-10-04,MSFT,320.55
2024-10-07,MSFT,322.00
2024-10-08,MSFT,321.60
2024-10-09,MSFT,321.10
2024-10-10,MSFT,322.50
2024-10-11,MSFT,323.05
2024-10-14,MSFT,322.85
2024-10-15,MSFT,324.20
2024-10-16,MSFT,325.10
2024-10-17,MSFT,324.75
2024-10-18,MSFT,325.90
2024-10-21,MSFT,326.30
2024-10-22,MSFT,325.80
2024-10-23,MSFT,326.05
2024-10-24,MSFT,326.70
2024-10-25,MSFT,327.00
2024-10-28,MSFT,327.40
2024-10-29,MSFT,326.95
2024-10-30,MSFT,327.80
2024-10-31,MSFT,328.20
2024-11-01,MSFT,329.12
2024-11-04,MSFT,330.05
2024-11-05,MSFT,329.70
2024-11-06,MSFT,330.22
2024-11-07,MSFT,331.10
2024-11-08,MSFT,331.75
2024-11-11,MSFT,332.05
2024-11-12,MSFT,331.66
2024-11-13,MSFT,332.88
2024-11-14,MSFT,333.30
2024-11-15,MSFT,333.85
2024-11-18,MSFT,334.10
2024-11-19,MSFT,333.55
2024-11-20,MSFT,333.95
2024-11-21,MSFT,334.25
2024-11-22,MSFT,334.90
2024-11-25,MSFT,335.10
2024-11-26,MSFT,335.55
2024-11-27,MSFT,336.00
2024-11-29,MSFT,336.20
2024-12-02,MSFT,336.75
2024-12-03,MSFT,336.40
2024-12-04,MSFT,336.90
2024-12-05,MSFT,337.30
2024-12-06,MSFT,337.85
2024-12-09,MSFT,338.22
2024-12-10,MSFT,338.60
2024-12-11,MSFT,338.95
2024-12-12,MSFT,339.35
2024-12-13,MSFT,339.90
2024-12-16,MSFT,340.15
2024-12-17,MSFT,340.55
2024-12-18,MSFT,341.00
2024-12-19,MSFT,341.45
2024-12-20,MSFT,341.70
2024-10-01,GOOG,135.10
2024-10-02,GOOG,135.55
2024-10-03,GOOG,134.80
2024-10-04,GOOG,135.25
2024-10-07,GOOG,135.90
2024-10-08,GOOG,135.60
2024-10-09,GOOG,135.40
2024-10-10,GOOG,136.05
2024-10-11,GOOG,136.35
2024-10-14,GOOG,136.15
2024-10-15,GOOG,136.80
2024-10-16,GOOG,137.10
2024-10-17,GOOG,136.95
2024-10-18,GOOG,137.40
2024-10-21,GOOG,137.70
2024-10-22,GOOG,137.35
2024-10-23,GOOG,137.55
2024-10-24,GOOG,137.95
2024-10-25,GOOG,138.10
2024-10-28,GOOG,138.45
2024-10-29,GOOG,138.20
2024-10-30,GOOG,138.75
2024-10-31,GOOG,139.05
2024-11-01,GOOG,139.45
2024-11-04,GOOG,139.85
2024-11-05,GOOG,139.60
2024-11-06,GOOG,140.05
2024-11-07,GOOG,140.50
2024-11-08,GOOG,140.80
2024-11-11,GOOG,141.05
2024-11-12,GOOG,140.95
2024-11-13,GOOG,141.35
2024-11-14,GOOG,141.70
2024-11-15,GOOG,141.95
2024-11-18,GOOG,142.20
2024-11-19,GOOG,141.85
2024-11-20,GOOG,142.05
2024-11-21,GOOG,142.40
2024-11-22,GOOG,142.75
2024-11-25,GOOG,143.05
2024-11-26,GOOG,143.35
2024-11-27,GOOG,143.60
2024-11-29,GOOG,143.80
2024-12-02,GOOG,144.05
2024-12-03,GOOG,144.30
2024-12-04,GOOG,144.55
2024-12-05,GOOG,144.85
2024-12-06,GOOG,145.10
2024-12-09,GOOG,145.35
2024-12-10,GOOG,145.55
2024-12-11,GOOG,145.80
2024-12-12,GOOG,146.05
2024-12-13,GOOG,146.35
2024-12-16,GOOG,146.60
2024-12-17,GOOG,146.85
2024-12-18,GOOG,147.10
2024-12-19,GOOG,147.35
2024-12-20,GOOG,147.60
